day_of_week,shift,peak_period,staff_count,order_volume,avg_items_per_order,avg_pick_distance_m,automation_utilization_pct,absenteeism_pct,equipment_downtime_min,new_hire_share_pct,throughput_units_per_hour
Saturday,Day,1,55,836,2.93,28.1,88.7,6.6,5.2,10.0,135.2
Thursday,Night,0,39,555,1.75,17.9,86.3,5.4,2.2,14.2,122.7
Friday,Evening,0,32,544,1.99,16.2,78.4,3.5,0.4,26.8,118.6
Wednesday,Day,0,36,390,2.48,17.7,73.7,9.2,5.5,13.4,100.0
Saturday,Night,0,26,368,3.42,18.7,91.8,5.1,5.6,32.9,76.1
Tuesday,Day,1,33,614,2.37,24.4,86.5,0.5,3.4,20.9,128.4
Friday,Day,0,53,506,2.35,22.4,69.7,8.9,18.3,12.4,117.3
Sunday,Day,0,41,307,2.82,15.4,82.5,5.9,4.8,14.0,106.9
Monday,Day,0,34,502,2.82,21.8,86.4,8.5,8.5,9.8,110.9
Friday,Day,0,22,622,2.37,15.1,57.0,6.9,9.9,13.7,83.1
Monday,Evening,0,52,490,3.89,25.9,68.8,12.4,11.0,15.9,94.2
Saturday,Night,0,24,401,2.65,27.0,81.6,4.3,4.3,9.2,85.4
Monday,Day,0,45,380,2.86,21.9,58.8,5.2,5.9,2.3,106.4
Sunday,Evening,0,29,483,2.58,23.6,60.3,7.4,7.8,21.2,87.9
Monday,Day,1,28,620,3.04,32.5,77.3,4.3,4.3,18.8,111.3
Sunday,Night,1,24,652,3.48,21.1,84.9,7.6,17.1,2.1,81.0
Saturday,Day,1,32,747,3.72,16.3,85.4,0.0,32.8,13.2,106.8
Friday,Day,0,43,604,2.38,25.5,93.8,5.0,9.7,19.2,136.4
Saturday,Evening,0,33,382,3.41,15.2,78.8,4.9,9.6,18.5,86.8
Saturday,Evening,0,18,511,3.1,20.7,74.3,4.8,16.3,7.1,72.3
Sunday,Evening,1,28,600,3.34,18.4,66.9,2.6,13.8,18.9,78.8
Tuesday,Evening,0,24,436,2.75,17.8,74.2,7.9,7.6,12.1,82.0
Friday,Evening,0,33,562,2.7,20.5,85.1,3.7,23.9,14.7,98.8
Monday,Day,0,52,547,3.31,27.4,85.5,5.8,4.5,5.6,132.6
Friday,Day,0,54,633,3.33,28.6,80.6,5.1,12.9,0.0,122.1
Tuesday,Day,1,55,685,3.66,27.6,85.5,6.7,5.9,6.6,138.4
Friday,Day,0,22,490,2.91,24.0,90.8,9.5,10.6,15.8,87.3
Friday,Day,0,36,476,2.74,20.5,78.8,5.8,5.4,10.6,106.9
Thursday,Evening,0,19,290,1.45,8.0,91.7,7.7,23.4,16.6,64.3
Thursday,Day,0,36,602,1.91,24.2,70.7,5.6,16.8,19.7,103.0
Saturday,Evening,0,39,459,2.58,8.3,77.3,3.7,10.2,9.7,105.2
Saturday,Evening,1,47,718,2.19,10.5,75.2,4.8,14.0,9.0,118.2
Thursday,Evening,0,30,520,3.25,21.0,85.9,4.3,3.4,0.0,108.2
Friday,Evening,0,19,362,2.08,23.6,67.9,6.9,1.8,1.2,78.0
Sunday,Day,0,35,387,2.52,19.3,74.8,5.5,4.4,2.6,111.0
Monday,Day,0,34,602,2.55,31.2,59.4,2.8,22.9,15.9,86.1
Monday,Evening,0,41,463,3.46,24.8,83.9,4.5,5.4,9.8,109.8
Monday,Evening,0,21,380,2.47,20.5,90.5,0.6,14.7,8.3,91.5
Friday,Day,1,41,668,3.05,30.3,89.1,4.6,6.4,7.5,139.4
Wednesday,Day,0,33,573,2.91,31.4,86.1,5.2,6.7,6.5,112.9
Saturday,Evening,0,46,579,3.3,25.1,86.4,10.6,5.5,18.5,116.8
Friday,Evening,0,55,341,3.27,17.3,85.0,9.2,5.1,12.7,103.8
Wednesday,Day,0,26,625,2.78,18.7,84.1,2.1,13.9,18.9,100.4
Sunday,Day,0,46,567,1.87,13.3,84.8,5.8,5.2,0.0,127.4
Saturday,Night,1,22,631,2.67,21.7,73.4,5.9,5.1,15.7,86.6
Tuesday,Day,0,55,352,2.79,15.7,76.0,4.5,7.6,8.6,137.3
Wednesday,Night,1,36,705,2.96,20.0,80.7,4.7,5.9,10.0,103.7
Wednesday,Day,0,46,515,2.39,23.6,74.6,4.1,3.7,21.5,100.3
Tuesday,Evening,0,47,307,3.43,10.1,62.3,10.8,12.8,9.3,97.9
Tuesday,Day,0,41,443,2.81,14.4,65.6,4.0,9.1,15.4,100.5
Sunday,Day,0,32,772,2.29,19.0,80.3,6.2,4.9,4.9,124.9
Thursday,Night,1,46,612,2.55,21.7,89.1,0.0,3.7,12.3,120.8
Wednesday,Evening,0,36,380,3.86,19.0,78.1,7.7,16.5,0.9,83.3
Saturday,Night,0,43,369,3.17,20.4,99.0,8.8,2.4,11.6,115.7
Thursday,Day,0,41,643,3.38,17.8,68.8,2.0,11.6,14.7,104.5
Sunday,Night,1,35,691,2.23,13.3,84.4,3.7,1.0,19.7,120.2
Saturday,Night,0,22,599,2.42,18.8,90.9,6.6,8.2,6.3,97.8
Thursday,Evening,0,29,479,2.43,20.7,88.7,5.3,8.4,8.3,92.4
Wednesday,Day,0,53,589,2.9,20.1,84.6,6.6,2.0,7.5,138.1
Sunday,Evening,1,37,554,2.7,22.7,90.7,4.3,2.2,10.2,121.7
Saturday,Evening,0,42,505,2.53,24.5,78.6,10.8,8.7,5.3,111.4
Sunday,Night,0,27,457,2.6,26.1,94.6,3.2,2.1,0.0,113.6
Monday,Day,1,44,766,2.36,18.2,92.8,13.3,19.0,4.7,144.6
Saturday,Day,0,36,540,2.7,12.5,69.5,8.9,5.0,11.7,113.7
Friday,Day,0,26,441,3.41,29.6,81.2,7.7,21.4,11.0,75.0
Monday,Evening,0,23,441,1.97,24.3,62.5,2.1,18.2,15.9,76.9
Friday,Night,0,33,296,2.99,16.3,93.2,7.9,6.9,17.9,82.7
Friday,Day,0,39,280,3.56,23.7,80.2,7.0,8.9,8.9,80.5
Monday,Evening,0,28,514,2.7,28.4,91.5,0.0,15.8,0.9,97.1
Thursday,Night,0,27,394,2.51,32.4,76.9,1.0,2.8,14.8,89.4
Saturday,Day,0,28,485,3.31,23.5,59.4,6.3,5.4,11.9,78.1
Wednesday,Day,0,29,549,2.26,28.4,99.0,4.8,21.0,10.2,92.7
Thursday,Evening,0,46,588,2.79,14.7,79.3,3.7,14.5,20.5,110.4
Thursday,Evening,0,36,506,2.23,21.8,68.0,8.4,6.2,15.2,99.2
Wednesday,Day,0,35,653,1.77,20.0,89.5,2.5,8.9,12.9,140.8
Sunday,Night,0,24,478,2.72,24.1,98.4,3.8,4.2,13.1,87.4
Saturday,Evening,0,38,519,2.11,31.7,76.0,3.3,5.8,17.9,106.3
Monday,Night,0,54,433,2.79,23.5,77.0,6.7,11.4,7.2,109.2
Sunday,Night,0,46,308,3.41,16.4,80.4,0.0,5.8,5.8,105.2
Sunday,Night,0,34,521,3.82,14.4,66.9,3.7,12.8,10.4,90.3
Wednesday,Evening,1,29,398,2.85,31.9,73.1,0.0,2.1,3.8,91.8
Saturday,Day,0,31,454,3.36,25.1,95.8,4.3,11.3,11.7,122.5
Monday,Evening,0,19,437,3.02,24.7,76.7,7.4,3.2,12.7,81.2
Sunday,Day,0,19,400,2.59,19.9,69.6,7.4,6.8,11.5,77.2
Friday,Evening,0,47,437,1.74,23.6,73.5,3.0,4.0,9.5,125.1
Friday,Day,0,50,675,3.69,16.1,88.7,6.8,11.4,23.6,127.5
Monday,Evening,0,54,540,2.22,24.3,58.2,4.6,2.3,18.6,119.3
Sunday,Day,1,41,590,3.56,15.0,82.5,9.3,12.9,11.3,117.3
Monday,Day,0,53,410,3.1,19.8,99.0,4.8,7.6,12.7,126.0
Tuesday,Day,0,33,344,2.26,18.1,98.3,0.0,6.3,21.6,98.0
Tuesday,Evening,0,27,512,2.97,8.0,83.7,7.9,4.5,7.9,86.4
Saturday,Evening,0,27,466,3.97,19.9,91.2,3.8,5.3,5.2,99.7
Tuesday,Day,1,26,458,3.64,16.6,93.1,4.4,17.9,13.6,93.1
Sunday,Night,0,46,440,2.52,20.7,76.7,6.2,4.4,14.9,114.6
Friday,Night,0,18,497,2.41,22.0,87.2,0.9,18.0,15.4,69.1
Monday,Day,0,53,546,2.86,32.6,95.9,5.4,22.2,17.8,110.4
Monday,Evening,0,47,428,2.71,23.8,65.4,6.8,6.2,6.9,110.7
Monday,Day,0,32,420,3.46,24.0,83.8,6.3,1.8,2.1,98.5
Friday,Day,0,44,689,3.21,25.0,81.6,3.4,15.0,7.9,125.9
Saturday,Evening,0,23,491,1.87,27.2,79.0,8.2,14.9,16.1,81.8
Tuesday,Day,0,34,533,3.05,24.7,78.1,2.2,18.2,5.5,114.8
Saturday,Night,0,22,414,2.7,23.7,80.3,3.3,7.1,0.0,89.2
Monday,Night,0,22,476,2.82,26.3,81.2,4.8,9.6,13.0,79.1
Saturday,Night,0,18,327,2.94,8.0,89.2,6.1,5.2,8.0,85.6
Sunday,Evening,0,48,411,3.46,34.5,82.8,4.2,5.0,0.0,110.1
Saturday,Evening,0,46,375,3.34,31.5,76.2,8.9,9.3,12.5,84.5
Friday,Night,0,51,398,2.39,23.3,69.6,6.1,15.9,9.3,102.5
Saturday,Day,1,55,809,2.77,13.5,75.3,5.4,13.5,23.7,152.8
Monday,Day,0,54,397,2.55,29.3,80.6,6.0,7.8,12.6,101.2
Tuesday,Evening,0,55,513,1.87,17.8,70.9,7.4,16.8,16.1,120.4
Monday,Day,0,18,599,2.74,25.2,87.5,5.9,2.4,11.9,83.7
Thursday,Day,0,47,472,3.81,14.3,82.3,0.0,35.0,7.8,105.8
Saturday,Day,1,45,784,1.86,35.4,91.4,8.5,2.7,8.6,136.6
Friday,Evening,0,24,530,2.79,13.3,71.6,5.6,7.3,19.6,92.7
Saturday,Day,0,23,521,2.77,22.4,69.7,7.3,9.2,17.2,88.7
Tuesday,Day,1,55,716,2.96,9.3,91.4,4.0,9.4,1.6,163.1
Saturday,Day,1,51,865,2.27,21.8,81.3,0.0,15.7,3.3,152.6
Tuesday,Day,0,30,404,2.02,19.4,76.0,0.0,3.6,3.6,104.5
Tuesday,Night,0,20,329,2.04,28.8,85.0,2.4,9.9,19.4,77.3
Friday,Day,0,30,403,3.53,19.4,84.6,6.8,12.7,0.0,90.6
Sunday,Evening,0,18,549,2.26,28.8,65.4,9.1,17.3,17.5,65.3
Friday,Evening,0,44,587,2.53,15.9,91.8,6.1,6.1,14.8,113.6
Monday,Day,0,32,404,3.96,20.3,73.9,2.0,8.5,13.0,101.7
Friday,Night,0,19,252,2.4,20.4,95.0,2.8,7.6,8.7,71.6
Monday,Evening,0,55,371,2.99,25.0,64.7,9.3,12.3,20.3,81.0
Sunday,Evening,0,49,507,3.39,24.2,81.2,1.3,12.3,12.8,120.9
Friday,Day,0,52,494,3.36,26.3,76.1,11.5,5.9,1.9,114.1
Tuesday,Day,0,55,482,2.07,23.6,58.2,10.8,7.5,3.5,116.5
Monday,Night,0,18,360,2.41,26.0,84.6,11.6,8.0,0.5,65.4
Tuesday,Evening,0,47,541,2.97,16.6,58.8,6.3,3.1,20.4,106.3
Sunday,Night,0,47,463,3.86,24.3,75.1,4.2,10.3,22.0,119.3
Thursday,Night,0,47,486,2.38,31.6,89.0,6.3,10.0,19.6,116.8
Saturday,Day,0,28,525,2.53,11.9,72.7,7.9,3.1,11.0,109.8
Friday,Evening,0,32,530,3.03,24.9,69.0,3.2,10.8,2.0,96.3
Friday,Evening,0,53,524,3.14,26.1,86.0,1.9,38.3,4.6,115.6
Tuesday,Evening,0,20,357,3.17,30.8,75.5,4.3,4.0,5.1,74.8
Sunday,Day,0,42,510,2.33,26.4,73.9,2.9,3.1,11.7,125.3
Wednesday,Day,0,48,545,2.51,22.6,90.7,8.9,12.6,21.7,122.4
Friday,Evening,0,48,590,2.92,24.6,66.3,3.4,5.9,21.7,113.8
Friday,Evening,1,40,700,3.49,17.6,75.4,5.5,15.7,8.6,118.6
Friday,Evening,0,47,388,2.67,19.7,86.7,8.1,7.3,0.0,109.8
Sunday,Day,0,52,398,2.79,14.0,65.7,9.0,4.7,3.8,121.3
Tuesday,Day,1,47,604,2.24,30.9,97.8,5.8,7.2,20.3,124.2
Thursday,Night,1,22,628,3.82,24.7,77.8,6.4,12.3,13.6,74.6
Wednesday,Day,0,27,458,2.88,16.5,86.7,2.1,12.0,9.5,79.6
Thursday,Day,0,29,368,3.39,23.6,86.7,8.3,2.1,9.0,95.4
Monday,Evening,1,31,508,2.82,29.0,78.5,9.0,12.3,6.7,97.7
Monday,Day,0,31,256,2.85,28.0,73.2,0.0,8.2,3.6,96.4
Tuesday,Evening,0,26,149,1.97,16.4,77.6,10.5,8.7,26.5,57.2
Wednesday,Day,0,43,457,1.62,8.0,85.1,3.1,10.3,24.0,124.2
Thursday,Night,0,22,650,3.49,24.4,68.1,7.0,3.1,6.2,83.0
Friday,Night,0,47,626,2.84,16.7,66.0,5.4,2.1,0.0,124.8
Friday,Night,0,43,362,2.91,25.7,92.8,5.0,2.2,13.2,97.7
Wednesday,Evening,0,54,464,2.11,27.7,70.7,4.6,15.0,11.0,110.4
Wednesday,Day,0,18,331,2.3,28.7,81.5,2.2,14.9,16.4,60.9
Tuesday,Evening,0,29,320,3.38,32.5,76.0,6.8,0.6,18.0,70.7
Friday,Night,1,52,521,3.76,29.4,78.4,4.3,7.5,3.8,115.9
Wednesday,Evening,0,36,429,2.46,32.5,92.3,1.3,5.1,21.0,102.4
Monday,Evening,1,39,598,3.17,30.3,79.1,2.1,3.4,9.5,102.5
Wednesday,Evening,1,19,654,2.9,30.8,76.4,1.3,17.1,16.3,81.1
Thursday,Evening,0,46,518,2.73,21.8,75.3,3.6,19.5,10.2,107.9
Tuesday,Evening,0,27,413,3.82,14.3,73.0,6.7,9.0,18.5,89.0
Friday,Day,0,54,503,2.55,36.9,71.3,3.1,4.9,0.0,119.2
Friday,Evening,1,32,556,3.48,22.4,75.0,8.1,5.6,17.2,100.2
Friday,Evening,0,25,352,3.01,29.4,94.6,4.8,2.9,6.2,82.7
Friday,Day,0,40,358,2.79,18.7,85.1,4.3,5.5,12.5,104.8
Friday,Night,1,36,697,3.55,27.8,76.5,5.3,3.8,20.7,95.2
Wednesday,Evening,0,35,418,2.96,8.0,87.8,9.4,18.7,6.4,87.1
Saturday,Day,1,54,512,2.75,19.5,64.1,1.1,1.3,5.3,136.0
Thursday,Night,0,31,424,3.56,21.4,91.8,10.2,13.8,9.4,88.4
Thursday,Evening,0,33,336,3.49,24.8,91.0,8.1,3.6,9.0,84.2
Friday,Evening,0,41,638,3.46,28.4,99.0,5.1,12.2,4.6,108.9
Wednesday,Day,0,24,415,1.3,15.4,88.1,8.7,6.9,12.7,98.2
Thursday,Night,0,49,495,3.04,26.0,82.4,4.2,14.0,13.1,105.6
Saturday,Day,1,26,793,2.92,29.4,92.9,6.1,2.3,15.2,112.8
Sunday,Evening,0,27,364,2.78,36.1,71.7,3.6,4.7,6.3,84.1
Sunday,Day,0,18,482,3.14,26.2,74.0,8.1,5.9,5.4,75.0
Thursday,Evening,1,31,688,2.94,19.2,79.4,3.1,8.1,11.2,103.5
Thursday,Evening,0,40,466,3.17,14.4,91.7,5.0,8.0,10.3,117.8
Saturday,Evening,0,44,524,2.65,33.0,69.4,7.2,2.9,10.4,107.2
Wednesday,Evening,1,52,504,3.62,26.4,70.4,8.3,2.2,7.0,122.1
Saturday,Night,0,47,518,3.23,21.9,80.4,2.7,6.2,14.3,122.7
Thursday,Evening,0,30,409,3.1,12.3,85.2,7.5,7.3,5.4,100.7
Monday,Day,0,49,488,3.07,16.4,71.0,2.3,5.9,11.1,111.8
Monday,Night,0,25,497,3.44,25.8,84.7,0.0,1.3,9.9,89.0
Saturday,Evening,0,25,554,3.36,24.1,91.7,3.0,7.6,11.8,105.6
Monday,Night,0,31,443,2.74,10.3,90.0,7.7,10.7,20.3,93.6
Wednesday,Night,0,38,486,3.34,25.8,81.5,5.2,9.0,2.8,97.8
Wednesday,Night,0,25,490,2.9,12.6,77.1,3.6,6.7,0.0,78.6
Tuesday,Evening,0,52,587,3.85,30.1,95.4,5.4,8.5,7.8,118.5
Wednesday,Evening,0,28,447,3.4,23.3,78.2,5.3,4.0,3.9,90.5
Saturday,Day,0,32,526,2.46,19.2,87.4,7.1,17.2,0.0,96.7
Monday,Evening,0,40,524,4.08,27.9,97.6,0.4,5.0,24.2,114.1
Saturday,Evening,0,34,443,1.64,24.1,86.4,4.9,11.0,15.9,101.0
Saturday,Evening,1,33,543,3.15,29.9,70.0,5.6,6.5,16.7,83.1
Wednesday,Night,0,55,472,2.42,22.5,65.6,1.1,14.4,10.0,107.9
Tuesday,Day,0,34,445,3.84,22.8,75.0,1.1,4.9,14.9,96.6
Friday,Day,0,22,385,2.94,20.3,85.1,4.1,14.5,9.0,82.4
Monday,Evening,0,45,483,2.36,23.6,82.4,5.2,18.7,17.7,114.6
Wednesday,Day,1,44,786,2.65,32.2,99.0,5.2,3.7,13.3,137.9
Sunday,Day,0,26,320,2.41,19.0,82.4,3.5,13.4,11.7,79.1
Sunday,Day,0,50,572,2.63,25.9,74.7,3.4,21.6,12.3,107.8
Saturday,Night,0,32,224,2.62,16.7,66.7,4.0,9.5,22.3,72.0
Wednesday,Evening,0,23,412,2.39,9.6,89.8,6.1,16.4,13.2,86.3
Friday,Day,0,24,675,2.95,23.2,77.9,8.9,19.0,4.8,98.0
Friday,Day,1,45,649,3.02,24.2,64.9,0.0,14.8,14.4,133.9
Wednesday,Evening,0,26,459,2.25,21.3,78.2,7.1,4.1,15.4,102.1
Friday,Day,0,35,572,1.89,13.0,68.0,4.9,10.5,11.0,107.3
Monday,Evening,0,45,272,2.97,23.8,73.7,6.8,11.5,11.6,98.5
Tuesday,Evening,0,50,452,3.09,23.6,78.1,8.8,1.1,4.5,118.4
Thursday,Day,0,36,481,3.2,16.7,68.9,2.9,6.9,12.7,95.5
Tuesday,Evening,0,52,622,3.1,13.9,73.1,8.0,8.5,3.5,111.3
Tuesday,Day,0,29,348,3.66,20.5,70.6,1.4,10.9,10.2,86.1
Saturday,Day,0,51,474,3.35,25.9,70.8,5.6,3.2,7.3,110.2
Sunday,Night,1,27,522,4.27,24.5,69.9,4.5,6.5,18.9,76.6
Thursday,Evening,0,20,357,4.51,16.7,73.2,5.3,9.0,22.8,58.3
Saturday,Night,1,45,752,1.83,22.8,71.1,2.2,5.5,4.0,130.2
Sunday,Day,0,46,478,1.59,27.3,83.9,6.5,1.1,12.0,136.0
Tuesday,Day,0,53,412,2.8,15.0,80.0,10.0,17.7,9.8,114.2
Thursday,Evening,1,53,586,3.08,22.4,91.9,2.3,26.9,15.3,118.7
Wednesday,Evening,0,21,396,2.76,30.0,96.9,5.8,9.9,12.7,63.7
Monday,Night,0,41,365,3.19,14.4,84.8,7.8,10.1,9.3,98.5
Saturday,Day,0,44,390,2.65,28.9,82.5,4.3,7.4,12.7,111.8
Thursday,Night,0,40,405,2.42,31.7,85.4,9.3,2.2,10.5,91.2
Thursday,Night,1,18,576,2.5,20.7,84.7,3.9,1.5,23.1,97.9
Tuesday,Evening,0,19,373,2.69,19.9,78.5,4.9,16.8,6.4,62.7
Tuesday,Day,1,43,660,3.26,28.2,79.7,2.2,25.0,13.8,108.5
Sunday,Evening,0,50,478,2.53,20.9,67.8,5.6,10.6,15.6,110.8
Monday,Day,0,24,402,2.64,8.0,86.4,5.2,5.4,15.1,92.1
Tuesday,Evening,0,19,431,3.11,21.4,77.7,7.1,6.5,9.9,79.7
Wednesday,Evening,1,33,835,2.69,24.8,94.5,3.3,11.8,21.6,114.8
Thursday,Night,0,29,631,3.41,26.4,87.2,3.2,16.2,0.0,101.6
Friday,Evening,1,55,560,2.29,16.7,73.7,6.6,7.5,4.3,137.6
Thursday,Evening,0,53,368,2.17,20.4,90.5,9.4,5.8,16.6,115.9
Monday,Evening,0,39,334,2.97,27.9,52.4,7.1,3.1,5.8,82.3
Tuesday,Evening,0,54,545,3.02,21.6,97.3,10.7,4.9,5.4,132.5
Saturday,Night,0,26,427,2.32,12.8,64.6,6.9,11.3,8.7,79.4
Friday,Day,1,55,703,3.54,29.4,85.0,6.8,9.4,6.5,136.1
Friday,Night,0,34,645,3.86,20.7,82.3,7.2,8.8,16.5,99.0
Friday,Night,0,36,454,2.45,28.5,89.2,9.7,3.2,18.3,93.8
Saturday,Night,0,19,532,3.62,13.6,74.7,8.9,6.2,12.6,79.4
Monday,Evening,0,24,484,1.49,21.3,56.5,1.9,13.6,19.4,74.0
Wednesday,Night,0,25,369,3.39,25.1,74.7,7.6,20.5,2.3,73.6
Thursday,Day,1,36,756,2.33,21.5,77.8,6.0,13.1,12.5,107.6
Wednesday,Evening,0,25,369,3.34,14.9,57.5,4.6,16.1,21.4,69.2
Saturday,Day,0,21,637,2.27,8.0,78.5,0.0,1.2,18.8,109.5
Thursday,Day,0,40,419,2.76,31.1,67.2,0.6,18.1,22.1,100.3
Saturday,Day,0,51,465,2.35,23.5,84.5,4.1,10.5,7.9,134.3
Saturday,Day,0,20,407,2.68,29.0,75.5,0.8,8.9,18.4,82.4
Thursday,Day,0,39,387,3.81,27.6,97.6,4.2,9.6,9.0,115.9
Sunday,Night,0,54,389,2.74,25.6,75.4,7.3,23.2,16.2,96.6
Friday,Day,0,33,269,3.96,20.1,82.3,3.5,5.2,21.2,93.8
Saturday,Evening,1,24,648,2.59,24.9,77.9,5.5,9.6,6.4,96.5
Wednesday,Day,1,21,602,3.62,30.6,63.8,2.0,6.9,0.0,95.7
Thursday,Evening,1,53,710,1.91,22.5,78.0,6.1,3.4,24.9,127.0
Thursday,Evening,0,33,495,2.64,33.4,85.5,6.7,1.8,15.4,96.8
Monday,Day,0,21,388,2.51,13.0,84.0,0.9,3.4,11.3,95.3
Wednesday,Evening,0,50,406,3.65,12.4,75.1,2.9,4.2,10.9,121.8
Sunday,Night,0,48,408,2.9,27.9,63.4,1.4,7.1,0.0,100.8
Friday,Night,0,44,596,1.65,17.1,84.4,6.7,16.1,13.5,135.0
Tuesday,Day,0,21,387,2.08,34.3,82.2,5.7,3.4,8.3,74.2
Wednesday,Evening,1,21,562,2.24,30.0,88.4,5.1,4.1,12.4,97.8
Tuesday,Evening,1,26,518,3.31,31.5,77.3,4.8,22.9,12.2,81.0
Monday,Day,0,24,314,3.24,27.3,61.2,6.2,5.4,0.0,79.1
Sunday,Night,0,38,459,2.63,16.5,83.3,6.2,4.6,15.4,99.5
Thursday,Day,0,32,494,2.5,12.0,77.9,3.7,4.7,13.3,110.2
Wednesday,Night,0,47,547,3.19,31.0,91.9,3.3,8.4,14.3,106.8
Friday,Day,0,21,599,2.18,13.0,78.3,5.0,7.2,10.7,114.8
Monday,Day,1,45,863,3.05,31.5,79.5,4.6,4.3,12.3,121.7
Tuesday,Night,0,53,413,3.0,26.0,82.2,11.4,5.6,13.2,103.7
Friday,Night,0,22,430,2.65,21.5,72.0,4.0,13.9,13.9,65.5
Friday,Night,0,42,331,3.02,24.7,71.5,6.1,9.2,15.3,79.8
Sunday,Night,0,37,496,2.86,24.8,77.0,6.6,19.1,14.0,78.1
Friday,Day,0,21,511,3.07,20.8,68.8,9.4,6.1,24.9,83.1
Thursday,Day,0,29,537,2.07,30.6,75.7,2.8,13.8,6.9,92.5
Saturday,Day,0,47,402,3.14,30.3,97.4,9.2,14.2,9.4,105.4
Sunday,Evening,0,51,488,3.36,22.9,88.4,4.8,4.1,23.9,113.1
Saturday,Day,0,31,529,2.98,18.4,81.1,12.7,10.2,10.9,100.8
Sunday,Night,0,22,443,3.13,29.8,93.5,6.3,7.9,18.5,77.5
Saturday,Day,0,27,445,2.74,9.9,69.8,1.5,1.2,12.9,104.2
Sunday,Day,1,50,768,3.29,24.7,99.0,4.6,1.9,10.4,140.9
Monday,Day,0,39,650,2.84,26.4,73.4,9.2,8.6,18.9,110.5
Saturday,Day,0,34,405,2.17,17.0,98.0,5.4,1.4,15.6,110.7
Thursday,Day,0,18,543,3.25,27.8,98.0,5.0,1.0,1.3,98.4
Thursday,Evening,0,47,182,1.9,21.8,60.5,7.4,7.8,13.2,89.2
Friday,Day,0,35,564,2.96,18.7,92.7,4.2,0.5,5.0,108.8
Sunday,Evening,0,38,277,2.59,27.8,75.2,4.6,2.9,20.9,106.8
Sunday,Night,0,50,380,2.55,15.5,72.3,2.4,7.7,24.3,112.4
Wednesday,Evening,1,39,505,2.89,27.2,85.2,10.4,6.7,25.1,102.3
Saturday,Evening,0,53,470,2.41,10.1,67.9,1.5,6.7,14.5,129.4
Saturday,Day,0,39,590,3.08,23.7,83.0,5.7,11.6,8.8,130.3
Wednesday,Day,1,31,474,2.83,22.3,70.6,6.6,15.3,14.3,101.5
Monday,Day,0,53,421,2.46,18.8,79.8,5.2,16.4,5.4,123.1
Monday,Night,0,42,361,3.54,24.3,91.4,1.4,24.3,28.4,78.4
Saturday,Evening,0,46,640,2.91,21.5,81.9,2.2,0.6,20.4,124.0
Thursday,Day,0,26,516,3.15,28.3,74.4,6.8,3.8,14.1,76.2
Sunday,Evening,0,43,343,3.58,25.4,83.4,2.9,2.7,19.0,100.5
Thursday,Night,0,39,385,3.57,24.7,63.9,0.0,24.8,8.6,82.7
Sunday,Evening,0,21,603,3.12,23.8,69.6,6.4,7.9,4.2,92.5
Wednesday,Evening,1,27,698,2.63,19.2,75.7,2.6,7.0,0.0,114.6
Saturday,Night,0,52,378,2.01,20.2,85.9,7.1,5.1,12.6,112.8
Monday,Evening,0,39,410,2.91,23.5,82.1,4.6,4.9,10.5,106.1
Thursday,Evening,0,47,433,3.4,21.0,83.4,4.5,4.9,15.6,116.8
Saturday,Day,0,24,459,2.99,28.7,77.7,5.4,5.2,12.1,73.2
Sunday,Day,0,26,313,1.3,22.6,70.1,1.8,4.8,15.3,95.3
Saturday,Night,0,53,401,3.28,24.3,92.9,2.7,20.9,17.7,123.0
Monday,Evening,1,33,747,3.31,13.6,73.0,4.4,30.6,1.8,96.5
Wednesday,Day,0,51,434,2.63,27.7,82.2,1.8,29.4,18.1,87.5
Monday,Evening,0,48,425,3.34,18.5,76.9,7.3,1.2,9.2,105.8
Monday,Day,0,30,468,3.15,15.7,83.6,4.3,4.2,15.6,88.3
Friday,Night,0,54,666,2.42,31.9,71.9,0.9,0.9,19.2,120.4
Saturday,Day,0,47,511,3.5,26.2,88.5,3.5,30.1,19.2,97.2
Saturday,Night,0,22,569,2.1,27.9,91.8,5.5,9.9,12.9,96.6
Sunday,Evening,0,21,398,2.77,24.7,87.9,3.9,13.6,13.2,86.2
Saturday,Day,0,22,485,2.71,21.4,79.6,6.4,6.6,18.2,92.9
Saturday,Day,0,46,511,2.35,20.3,73.6,6.9,7.0,1.5,132.6
Monday,Night,0,23,336,2.97,26.7,99.0,12.4,17.7,5.3,62.1
Tuesday,Day,0,28,446,3.52,28.8,68.1,8.7,7.8,10.0,81.8
Friday,Day,0,34,584,3.49,21.6,86.8,0.3,8.1,2.7,131.6
Saturday,Evening,0,23,414,3.2,34.4,81.3,4.1,12.7,10.1,80.8
Monday,Day,0,30,455,1.87,20.8,77.4,4.4,11.6,9.7,103.2
Thursday,Day,0,43,542,2.07,13.6,79.9,6.9,7.6,12.6,115.5
Friday,Day,1,54,602,2.89,11.7,74.9,2.4,5.0,11.6,140.0
Monday,Night,0,35,514,2.78,11.9,82.3,3.6,4.7,19.5,94.3
Wednesday,Day,0,46,477,2.53,19.5,81.2,1.5,16.6,16.0,127.9
Sunday,Day,1,38,639,3.85,20.6,99.0,3.4,8.2,11.5,116.8
Friday,Day,0,35,309,2.86,26.1,88.7,3.5,3.7,9.7,107.2
Tuesday,Day,0,37,430,3.1,21.8,83.2,4.3,14.7,11.7,104.4
Saturday,Day,0,54,545,3.34,27.1,83.8,1.6,7.5,11.8,120.6
